Acat03G006030.1	EVM0000712.1
Acat05G000440.1	EVM0000713.2
Acat13G016720.1	EVM0000714.1
Acat03G015630.1	EVM0000715.1
Acat03G003300.1	EVM0000716.1
Acat03G028900.1	EVM0000717.1
Acat11G012050.1	EVM0000718.1
Acat12G000550.1	EVM0000719.1
Acat04G022030.1	EVM0000720.1
Acat01G007970.1	EVM0000721.1
Acat0958S000650.1	EVM0000722.1
Acat0371S000020.1	EVM0000723.1
Acat07G010990.1	EVM0000724.1
Acat03G002830.1	EVM0000725.1
Acat07G000300.1	EVM0000726.1
Acat11G014560.1	EVM0000727.1
Acat03G022840.1	EVM0000728.1
Acat05G014300.1	EVM0000729.1
Acat12G012210.1	EVM0000730.1
Acat01G015650.1	EVM0000731.1
Acat11G001580.1	EVM0000732.1
